idx,id,name_ru,hp,dmg,speed_cps,attack_cd_s,melee_reach_cells,is_ranged,proj_speed_cps,proj_type,is_boss,tier_derived,behaviour,shared_flags,spawn_weight,min_samosbor,rare,pack_mode,pack_min,pack_max,pack_spread,floors_z,shot_range_cells,min_range_cells,windup_s,ai_flags,n_ai_flags,n_rare_drops,has_loot_table,role,def_src,eco_src,mass_g
48,KANTSELYARSKIY_IDOL,Канцелярский Идол,72,18,0,2.9,1.2,1,7.2,,0,HEAVY,OfficeField,,0.68,2,1,loner,1,1,0,30,14.5,2.35,1.12,officeField,1,3,0,"Стационарная министерская офисная турель, которая превращает столы, шкафы и формы в ПСИ-линию.",src/entities/kantselyarskiy_idol.ts:7,src/data/monster_ecology.ts:774,220000
49,LOZHNYY_DUKH,Ложный Дух,34,9,2.25,1.65,1.2,0,0,,0,MEDIUM,FalsePhase,,0.72,3,1,loner,1,1,0,30|0|-50,0,0,0,falsePhase,1,2,0,"Дверной фланкер, который ломает привычку пережидать угрозу за закрытой створкой.",src/entities/lozhnyy_dukh.ts:7,src/data/monster_ecology.ts:876,85000
50,CHERVIE_AVATAR,Червие,118,17,1.45,2.15,1.2,1,5.8,,0,HEAVY,NetPossessor,,0.42,4,1,loner,1,1,0,30|-26|-50,15,1.5,0.7,netPossessor,1,2,0,"Локальный NET-аватар, который делает экранную комнату опасной только рядом с источником сигнала.",src/entities/chervie_avatar.ts:7,src/data/monster_ecology.ts:1284,220000
51,POMOYNY_ROY,Помойный Рой,38,2,2.18,0.38,1.2,0,0,,0,MEDIUM,GarbageSurround,foodBait,2.9,1,0,crowd,8,16,5,14|0|-26,0,0,0,foodBait|garbageSurround,2,2,0,"Помойная стая, которая занимает фланги вокруг открытой еды и брошенной приманки.",src/entities/pomoynyy_roy.ts:7,src/data/monster_ecology.ts:286,85000
52,SCULPTURE,Скульптура,250,1000,8.5,0.25,1.2,0,0,,0,ELITE,WeepingAngel,,0.1,2,1,loner,1,1,0,-26|-36|-50,0,0,0,weepingAngel,1,2,0,"Бетонная аномалия, которая движется с огромной скоростью, когда на нее никто не смотрит.",src/entities/sculpture.ts:8,src/data/monster_ecology.ts:1386,400000
53,TRUBNYY_AVTOMAT,Трубный Автомат,150,25,0.82,2.75,1.2,1,13,,0,ELITE,WetLineShot,,1.25,2,1,loner,1,1,0,-26,18,2.25,1.05,wetLineShot,1,3,0,"Коридорный сервис-автомат, который закрывает длинную мокрую прямую и затем остывает.",src/entities/trubnyy_avtomat.ts:7,src/data/monster_ecology.ts:910,400000
54,LOTOCHNIK,Лоточник,74,13,1.25,1.25,1.2,0,0,,0,HEAVY,DrainArmor,waterStrider,2.1,2,0,loner,1,1,0,-26|0,0,0,0,waterStrider|drainArmor,2,2,0,"Мокрый служебный хищник, который делает лоток выбором маршрута, а не плоской водой.",src/entities/lotochnik.ts:7,src/data/monster_ecology.ts:1029,220000
55,TRESKOTNIK,Трескотник,18,15,2.75,1.65,1.2,0,0,,0,LIGHT,FractureSprint,,2.4,1,0,loner,1,1,0,14|0|-36,0,0,0,fractureSprint,1,2,0,"Хрупкий crack-sprinter, который превращает тихий коридор в короткий тест тайминга.",src/entities/treskotnik.ts:7,src/data/monster_ecology.ts:1369,40000
56,ZAKALENNAYA_ARMATURA,Закаленная Арматура,265,31,0.62,2.9,1.2,0,0,,0,ELITE,Plain,,0.28,5,1,loner,1,1,0,-26|-36,0,0,0,,0,2,0,"Медленный бронированный melee-элитник, который запрещает слабый размен.",src/entities/zakalennaya_armatura.ts:7,src/data/monster_ecology.ts:706,400000
57,GLUBINNAYA_TEN,Глубинная Тень,64,18,1.82,1.7,1.2,0,0,,0,HEAVY,SecondBeat,,0.62,3,0,loner,1,1,0,-36|-50,0,0,0,secondBeat,1,2,0,"Глубинный темный засадник, который наказывает погоню за первым силуэтом вторым телом.",src/entities/glubinnaya_ten.ts:7,src/data/monster_ecology.ts:621,220000
58,GREEN_DOG,Зеленая собака,34,9,2.55,0.82,1.2,0,0,,0,MEDIUM,PackHowl+NoiseFear,foodBait,2.4,1,0,crowd,3,6,6,14|0|-26,0,0,0,packHowl|noiseFear|foodBait,3,1,0,"Гражданско-техническая стая, которая начинается с воя за дверью и наказывает доверчивое открывание.",src/entities/green_dog.ts:7,src/data/monster_ecology.ts:269,85000
59,SLIME_WOMAN,Жижевая женщина,118,17,1.18,1.55,1.38,0,0,,0,HEAVY,SlimeStrider,,0.42,3,1,loner,1,1,0,-26|0,0,0,0,slimeStrider,1,2,0,"Редкий водно-слизевой гуманоид: опасна в лотке и дает выбор между обходом, сушкой и пробой.",src/entities/slime_woman.ts:7,src/data/monster_ecology.ts:1165,220000
60,GNILUSHKA,Гнилушка,74,16,1.42,1.05,1.2,0,0,,0,HEAVY,DefensiveNeutral,,0.18,2,1,loner,1,1,0,0|14,0,0,0,defensiveNeutral,1,2,0,"Редкая нейтральная мутантка: проверяет выдержку, помощь и выбор между пробой, доносом и насилием.",src/entities/gnilushka.ts:7,src/data/monster_ecology.ts:1182,220000
61,MUKHOZHUK_HOST,Мухожук-носитель,118,13,1.28,1.28,1.2,0,0,,0,HEAVY,ParasiteLeader,foodBait,0.18,4,1,loner,1,1,0,30|-26,0,0,0,parasiteLeader|foodBait,2,2,0,Редкий раскрытый носитель паразита власти: социальный риск становится боевым приказом.,src/entities/mukhozhuk.ts:7,src/data/monster_ecology.ts:1301,220000
62,FOG_SHARK,Туманная акула,18,12,2.85,0.78,1.2,0,0,,0,LIGHT,FogSwimmer,,0.95,2,0,roamer,2,4,10,0|-26|-36,0,0,0,fogSwimmer,1,2,0,"Низко-HП стайный хищник, который делает плотный туман маршрутом риска, а не только визуальным шумом.",src/entities/fog_shark.ts:7,src/data/monster_ecology.ts:1318,40000
63,BLOOD_PLANT,Кровавое Растение,96,19,0,2.85,1.2,0,0,,0,HEAVY,RootHive,,0.16,4,1,territorial,1,3,3,0|-26|-36,0,0,0,rootHive,1,2,0,"Корневой источник красной плесени: стационарный бой, контрабанда и выбор зачистить или прорубить путь.",src/entities/blood_plant.ts:7,src/data/monster_ecology.ts:1335,220000
64,SWARM,Рой,12,2,2.75,0.24,1.05,0,0,,0,TRASH,SourceSwarm,foodBait,1.15,2,0,crowd,8,16,5,-26|-36,0,0,0,sourceSwarm|foodBait,2,2,0,"Источник в вентиляции, который давит область короткоживущими быстрыми телами.",src/entities/swarm_mass.ts:7,src/data/monster_ecology.ts:303,12000
65,SPORE_CARPET,Ковер,24,4,0.82,1.4,1.2,0,0,,0,LIGHT,LurkingFurniture,,0.72,1,0,loner,1,1,0,30|14|0|-26,0,0,0,lurkingFurniture,1,3,0,"Домашняя ловушка под видом ковра: охраняет вещи, порог или тихий кабинет.",src/entities/spore_carpet.ts:7,src/data/monster_ecology.ts:1352,40000
66,LISHENNYY,Лишенный,76,11,1.72,1.05,1.2,0,0,,0,HEAVY,LightFollower,,0.58,4,0,loner,1,1,0,-36|-50,0,0,0,lightFollower,1,2,0,Глубинный страж света: превращает фонарь из чистой защиты в приманку и маршрутный риск.,src/entities/lishennyy.ts:7,src/data/monster_ecology.ts:638,220000
67,GNOME,Гном,25,8,2.8,0.8,1.2,0,0,,0,LIGHT,Melee,,1.5,1,0,crowd,3,6,6,-26|14|0,0,0,0,melee,1,2,1,"Мелкий бетоноруб и собиратель арматуры, опасный в узких технических туннелях.",src/entities/gnome.ts:7,src/data/monster_ecology.ts:443,40000
